set Bricks := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set SalesReps := 1 2 3 4;


param Workload :=
	1 0.1609
	2 0.1164
	3 0.1026
	4 0.1516
	5 0.0939
	6 0.1320
	7 0.0687
	8 0.0930
	9 0.2116
	10 0.2529
	11 0.0868
	12 0.0828
	13 0.0975
	14 0.8177
	15 0.4115
	16 0.3795
	17 0.0710
	18 0.0427
	19 0.1043
	20 0.0997
	21 0.1698
	22 0.2531;

param Distance
:      1       2       3       4      :=
1    16.16   24.08   24.32   21.12
2    19      26.47   27.24   17.33
3    25.29   32.49   33.42   12.25
4     0       7.93    8.31   36.12
5     3.07    6.44    7.56   37.37
6     1.22    7.51    8.19   36.29
7     2.8    10.31   10.95   33.5
8     2.87    5.07    5.67   38.8
9     3.8     8.01    7.41   38.16
10   12.35    4.52    4.35   48.27
11   11.11    3.48    2.97   47.14
12   21.99   22.02   24.07   39.86
13    8.82    3.3     5.36   43.31
14    7.93    0       2.07   43.75
15    9.34    2.25    1.11   45.43
16	  8.31    2.07    0      44.43
17    7.31    2.44    1.11   43.43
18    7.55    0.75    1.53   43.52
19   11.13   18.41   19.26   25.04
20   17.49   23.44   24.76   23.21
21   11.03   18.93   19.28   25.43
22   36.12   43.75   44.43    0
;
	
param CurrentAllocation
:    1   2   3   4    :=
1    0   0   0   1
2    0   0   0   1
3    0   0   0   1
4    1   0   0   0
5    1   0   0   0
6    1   0   0   0
7    1   0   0   0
8    1   0   0   0
9    0   0   1   0
10   0   1   0   0
11   0   1   0   0
12   0   1   0   0
13   0   1   0   0
14   0   1   0   0
15   1   0   0   0
16   0   0   1   0
17   0   0   1   0
18   0   0   1   0
19   0   0   0   1
20   0   0   0   1
21   0   0   0   1
22   0   0   0   1
;
